
Capability codes:
  (R) Router, (B) Bridge, (T) Telephone, (C) DOCSIS Cable Device
  (W) WLAN Access Point, (P) Repeater, (S) Station, (O) Other
Device ID            Local Intf      Hold-time  Capability  Port ID  
sw-dp4-data-117.vtb24.rumgmt0           120        BR          Eth103/1/47       
1802.2db5.be52       Eth151/1/30     121                    3138.3032.2e32    
1802.2db5.be02       Eth151/1/32     121                    3138.3032.2e32    
1802.2db5.be42       Eth151/1/33     121                    3138.3032.2e32    
1802.2db5.be08       Eth151/1/34     121                    3138.3032.2e32    
1802.2db5.be0e       Eth151/1/35     121                    3138.3032.2e32    
1802.2db5.be2a       Eth151/1/36     121                    3138.3032.2e32    
1802.2db5.be30       Eth151/1/37     121                    3138.3032.2e32    
1802.2db5.be5a       Eth151/1/38     121                    3138.3032.2e32    
1802.2db5.beb0       Eth151/1/39     121                    3138.3032.2e32    
1802.2db5.be22       Eth151/1/40     121                    3138.3032.2e32    
acb3.b53d.9655       Eth151/1/41     121                    6163.6233.2e62    
acb3.b53d.9557       Eth151/1/42     121                    6163.6233.2e62    
acb3.b53d.965f       Eth151/1/43     121                    6163.6233.2e62    
acb3.b53d.9665       Eth151/1/44     121                    6163.6233.2e62    
acb3.b53d.967f       Eth151/1/45     121                    6163.6233.2e62    
acb3.b52a.843b       Eth151/1/46     121                    6163.6233.2e62    
Total entries displayed: 91
